Date,Open,High,Low,Close,Volume,Change %
02/14/2022,"1,490.00","1,499.45","1,469.30","1,473.70",7.33M,-2.97%
02-11-2022,"1,500.25","1,525.00","1,499.50","1,518.85",5.36M,-0.41%
02-10-2022,"1,514.00","1,535.50","1,501.65","1,525.10",7.16M,1.84%
02-09-2022,"1,474.00","1,499.70","1,467.00","1,497.60",5.65M,2.45%
02-08-2022,"1,476.40","1,478.45","1,444.55","1,461.85",6.99M,-0.43%
02-07-2022,"1,512.10","1,519.00","1,460.00","1,468.15",6.13M,-3.66%
02-04-2022,"1,528.40","1,532.85","1,514.10","1,524.00",5.79M,0.57%
02-03-2022,"1,528.75","1,539.95","1,509.00","1,515.35",5.28M,-1.04%
02-02-2022,"1,511.95","1,535.00","1,505.60","1,531.20",6.98M,2.28%
02-01-2022,"1,508.50","1,517.00","1,473.45","1,497.00",7.37M,0.76%
01/31/2022,"1,472.75","1,491.55","1,466.80","1,485.70",6.42M,1.53%
01/28/2022,"1,477.50","1,486.70","1,460.00","1,463.25",12.46M,-0.79%
01/27/2022,"1,450.00","1,485.00","1,435.00","1,474.95",14.31M,-0.88%
01/25/2022,"1,458.65","1,495.00","1,444.00","1,488.05",6.80M,0.09%
01/24/2022,"1,509.95","1,521.25","1,467.55","1,486.65",5.93M,-2.30%
01/21/2022,"1,500.00","1,529.80","1,485.60","1,521.60",5.77M,0.83%
01/20/2022,"1,528.45","1,528.50","1,500.10","1,509.00",7.60M,-0.62%
01/19/2022,"1,534.00","1,539.75","1,513.35","1,518.45",7.16M,-0.71%
01/18/2022,"1,533.00","1,550.90","1,523.00","1,529.25",6.17M,0.51%
01/17/2022,"1,530.00","1,556.00","1,519.15","1,521.50",11.49M,-1.53%
01/14/2022,"1,530.00","1,548.70","1,519.00","1,545.15",5.60M,1.12%
01/13/2022,"1,555.00","1,555.00","1,520.40","1,528.00",20.98M,-1.84%
01-12-2022,"1,568.00","1,576.65","1,552.00","1,556.65",10.54M,-0.59%
01-11-2022,"1,561.55","1,568.70","1,547.80","1,565.90",4.19M,0.43%
01-10-2022,"1,558.00","1,572.00","1,545.50","1,559.15",4.43M,0.55%
01-07-2022,"1,544.00","1,566.75","1,535.90","1,550.55",5.59M,0.70%
01-06-2022,"1,543.00","1,554.75","1,530.05","1,539.75",4.81M,-1.60%
01-05-2022,"1,536.80","1,572.00","1,528.10","1,564.85",7.17M,2.37%
01-04-2022,"1,520.00","1,532.90","1,507.80","1,528.55",4.43M,0.59%
01-03-2022,"1,485.00","1,523.00","1,480.50","1,519.65",4.53M,2.72%
12/31/2021,"1,461.50","1,484.80","1,461.50","1,479.40",3.16M,1.22%
12/30/2021,"1,458.50","1,466.85","1,445.00","1,461.50",3.61M,0.53%
12/29/2021,"1,456.05","1,461.00","1,447.40","1,453.85",3.83M,-0.48%
12/28/2021,"1,460.70","1,466.90","1,453.40","1,460.80",2.73M,0.69%
12/27/2021,"1,428.90","1,454.00","1,422.15","1,450.80",2.35M,0.83%
12/24/2021,"1,445.50","1,452.00","1,428.00","1,438.90",2.78M,-0.36%
12/23/2021,"1,453.25","1,457.80","1,436.85","1,444.10",4.89M,-0.08%
12/22/2021,"1,452.30","1,456.00","1,435.70","1,445.20",4.29M,0.24%
12/21/2021,"1,439.50","1,450.75","1,430.00","1,441.80",4.56M,1.13%
12/20/2021,"1,452.00","1,458.00","1,414.10","1,425.65",10.58M,-3.22%
12/17/2021,"1,497.00","1,506.00","1,467.70","1,473.05",7.50M,-1.80%
12/16/2021,"1,512.80","1,517.00","1,494.00","1,500.10",6.61M,0.01%
12/15/2021,"1,503.00","1,523.35","1,495.65","1,500.00",5.06M,-0.16%
12/14/2021,"1,502.50","1,516.00","1,497.05","1,502.45",4.60M,-0.58%
12/13/2021,"1,526.00","1,537.65","1,507.20","1,511.15",5.16M,-0.75%
12-10-2021,"1,524.90","1,528.00","1,508.45","1,522.55",3.89M,-0.28%
12-09-2021,"1,545.20","1,554.70","1,522.00","1,526.85",5.87M,-1.73%
12-08-2021,"1,536.00","1,555.05","1,534.00","1,553.80",7.65M,1.84%
12-07-2021,"1,513.95","1,532.00","1,509.90","1,525.70",6.21M,1.46%
12-06-2021,"1,513.00","1,518.80","1,497.35","1,503.80",3.51M,-0.64%
12-03-2021,"1,525.80","1,535.95","1,507.05","1,513.55",4.06M,-0.80%
12-02-2021,"1,504.50","1,528.80","1,500.00","1,525.75",5.60M,1.40%
12-01-2021,"1,495.00","1,507.05","1,489.10","1,504.65",4.34M,0.74%
11/30/2021,"1,495.00","1,529.00","1,486.55","1,493.55",12.61M,-0.51%
11/29/2021,"1,494.80","1,507.65","1,462.00","1,501.25",6.50M,0.76%
11/26/2021,"1,500.00","1,506.70","1,485.00","1,489.90",9.31M,-2.36%
11/25/2021,"1,514.80","1,533.30","1,507.00","1,525.95",5.13M,0.52%
11/24/2021,"1,524.00","1,536.35","1,514.05","1,518.05",15.40M,0.16%
11/23/2021,"1,502.00","1,527.80","1,496.35","1,515.55",5.62M,0.01%
11/22/2021,"1,546.00","1,552.70","1,499.05","1,515.35",7.63M,-1.56%
11/18/2021,"1,526.05","1,543.50","1,525.25","1,539.40",4.58M,0.56%
11/17/2021,"1,536.90","1,544.00","1,528.50","1,530.80",3.80M,-1.11%
11/16/2021,"1,555.00","1,557.20","1,541.60","1,548.00",4.12M,-0.59%
11/15/2021,"1,562.10","1,571.85","1,554.40","1,557.25",4.77M,0.27%
11-12-2021,"1,550.00","1,559.05","1,545.05","1,553.00",7.46M,0.30%
11-11-2021,"1,550.05","1,554.90","1,535.60","1,548.30",4.00M,-0.45%
11-10-2021,"1,568.00","1,569.00","1,550.00","1,555.25",6.86M,-1.08%
11-09-2021,"1,594.60","1,594.60","1,569.05","1,572.25",6.35M,-1.75%
11-08-2021,"1,592.10","1,604.70","1,570.45","1,600.25",9.47M,0.40%
11-04-2021,"1,595.00","1,597.85","1,590.10","1,593.95",548.40K,0.79%
11-03-2021,"1,605.10","1,609.90","1,575.55","1,581.45",5.10M,-1.57%
11-02-2021,"1,606.00","1,622.00","1,600.05","1,606.75",6.62M,0.09%
11-01-2021,"1,585.00","1,611.00","1,583.55","1,605.30",4.06M,1.42%
10/29/2021,"1,590.00","1,602.00","1,560.00","1,582.85",6.20M,-0.67%
